Card	Type	Text
Fool	Representation	The Fool represents innocence, optimism, and freedom; new beginnings and adventures to come.
Fool	Guidance	You should approach opportunities with an open mind, see the world through childlike eyes and find excitement in disruption.
Fool	UserRepresentation	This card often stands for a journey or opportunity. There is nothing foolish about The Fool, he is bold and brave.
Fool	AgentRepresentation	If it represents a person it could be a child or someone with childlike enthusiasm.
Fool	E Interpretation	Evelyn suggests you look closer - what distant possibilities lie off in the distance or hidden in the details? Where might The Fool be leading you?
Fool	S Interpretation	Madame Sosoteris sees hope and understanding, what adventures could it refer to?
Fool	M Interpretation	Maledictus associates The Fool with upheaval
Magician	Representation	The Magician represents power, wisdom, and resourcefulness; the capacity for creation and the thread between dream and action.
Magician	Guidance	You should follow your instincts, take a chance or begin a new venture. Believe in yourself and commit.
Magician	UserRepresentation	This card often stands for education or entrepreneurship, it could also denote something artistic.
Magician	AgentRepresentation	The Magician might be a creative or talented person, perhaps someone you admire for their vision.
Magician	E Interpretation	Evelyn sees The Magician as a source of power, what could he represent?
Magician	S Interpretation	Madame Sosoteris believes The Magician symbolises an idea or purpose, what do you see in the card she has chosen for you?
Magician	M Interpretation	Maledictus believes you have hidden potential, what buried ideas does his card conjure up?
Priestess	Representation	The High Priestess represents intuition, the subconscious, or spiritual awakening. She is the gatekeeper of sacred wisdom and divine femininity.
Priestess	Guidance	You should pay attention to your dreams, listen to your closest friends and seek knowledge in unusual places.
Priestess	UserRepresentation	This card can stand for hibernation or withdrawal, it suggests an opportunity to contemplate ideas you would normally discard.
Priestess	AgentRepresentation	The High Priestess is often a teacher or trusted woman in your life.
Priestess	E Interpretation	Evelyn believes that wisdom lies close at hand. What do you see in the High Priestess or what might she represent?
Priestess	S Interpretation	Madame Sosoteris sees something hidden on the cusp of apparition. What might the High Priestess be concealing for you?
Priestess	M Interpretation	Maledictus suggests you study his card closely, the answers we seek are not always on the surface.
Empress	Representation	The Empress represents abundance, nature or beauty; the rich creativity of expression and the joy of cooking or eating.
Empress	Guidance	You should explore your artistic side, revel in your friendships and look for the beautiful concealed as the everyday.
